브랜드,차량명,연식,주행거리,연료,가격(만원),등록일자
르노,QM6,2018,90506,하이브리드,181,2025-07-21
기아,K5,2018,179307,전기,100,2025-11-24
기아,스포티지,2021,83892,휘발유,615,2024-11-07
르노,SM6,2018,210981,하이브리드,100,2025-04-21
KG모빌리티,렉스턴,2022,61020,전기,1831,2026-01-23
기아,쏘렌토,2013,79392,하이브리드,100,2024-04-05
기아,쏘렌토,2016,63888,Diesel,725,2024-05-30
현대,아반떼,2015,129554,휘발유,100,2025-04-11
KG모빌리티,코란도,2023,187545,전기,466,2025-02-13
기아,K5,2022,185256,휘발유,100,2026-03-08
KG모빌리티,코란도,2014,215792,전기,100,2024-02-21
기아,카니발,2013,124658,전기,100,2025-11-14
르노,XM3,2021,218649,전기,226,2025-07-15
KG모빌리티,코란도,2023,230835,전기,364,2024-09-22
기아,카니발,2022,77695,전기,1213,2025-10-03
기아,K7,2019,25311,하이브리드,823,2024-08-28
르노,XM3,2017,239101,휘발유,100,2024-05-21
기아,K5,2018,186914,경유,100,2024-03-06
KG모빌리티,렉스턴,2017,147242,전기,169,2024-03-04
기아,카니발,2018,107099,휘발유,378,2026-02-22
KG모빌리티,렉스턴,2012,97211,전기,100,2025-03-05
기아,K9,2015,76548,전기,251,2024-01-30
KG모빌리티,토레스,2022,183032,전기,721,2026-01-11
기아,카니발,2019,,휘발유,100,2025-02-07
현대,아반떼,2022,117358,전기,341,2024-07-05
현대,그랜저,2018,90813,전기,327,2024-11-30
르노,XM3,2016,202134,전기,100,2024-09-15
현대,투싼,2012,201352,가솔린,100,2024-12-24
기아,쏘렌토,2013,209795,휘발유,100,2026-02-11
현대,쏘나타,2015,224998,Diesel,100,2024-09-01
기아,K9,2022,34986,경유,2075,2025-04-21
르노,XM3,2014,163831,휘발유,100,2026-03-07
기아,K7,2013,,하이브리드,100,2025-08-12
KG모빌리티,렉스턴,,56990,경유,1134,2024-04-14
르노,QM6,2021,216164,가솔린,-500,2024-12-21
KG모빌리티,토레스,2013,137634,하이브리드,100,2024-01-13
KG모빌리티,렉스턴,2013,118645,하이브리드,124,2025-10-12
KG모빌리티,코란도,2018,51173,하이브리드,562,2025.09.22
KG모빌리티,렉스턴,2018,221461,하이브리드,254,2024-11-26
기아,카니발,2013,78119,전기,100,2024-09-06
KG모빌리티,렉스턴,2017,,하이브리드,869,2024-07-05
KG모빌리티,코란도,2017,214146,하이브리드,100,2024-10-13
르노,QM6,2012,140430,경유,100,2024-03-28
기아,쏘렌토,2018,133077,경유,499,2025-12-08
KG모빌리티,렉스턴,2019,212862,가솔린,100,2024-10-28
기아,K9,2023,68780,하이브리드,1654,2025-04-29
르노,XM3,2023,149281,하이브리드,591,2025-12-20
KG모빌리티,토레스,,70903,휘발유,100,2026-01-08
기아,K7,2013,199741,경유,100,2024-07-15
기아,쏘렌토,2019,77482,하이브리드,1205,2024-04-12
기아,K7,2015,99602,하이브리드,100,2024-01-15
기아,K7,2012,19293,하이브리드,174,2025-12-15
기아,쏘렌토,2024,133680,휘발유,1080,2025-08-10
르노,XM3,2019,120466,경유,102,2024-02-22
르노,XM3,2013,220512,전기,100,2025-05-18
현대,싼타페,2022,184949,경유,100,2024-06-01
르노,SM6,2015,36051,전기,262,2025-09-12
기아,카니발,2020,104713,전기,390,2024-10-31
KG모빌리티,토레스,2021,167798,휘발유,100,2026-02-20
기아,쏘렌토,2015,74375,Gasoline,415,2024-06-09
기아,K5,2020,24677,휘발유,563,2025-02-22
KG모빌리티,렉스턴,2016,13556,하이브리드,513,2025-12-24
르노,QM6,2019,23659,경유,814,2024-09-27
기아,K9,2013,147753,경유,100,2024-09-29
기아,K3,2012,48495,하이브리드,100,2025-09-01
르노,XM3,2013,127866,하이브리드,100,2025-12-17
KG모빌리티,토레스,2020,146552,전기,214,2024-03-23
현대,투싼,,89494,하이브리드,1233,2024-01-27
현대,쏘나타,2022,224141,휘발유,582,2026-02-22
르노,QM6,2012,205044,경유,100,2025-04-26
KG모빌리티,토레스,2014,158440,전기,100,2024-04-03
KG모빌리티,토레스,2018,92374,휘발유,126,2024-06-13
르노,XM3,2023,134884,전기,609,2026-02-17
현대,투싼,2013,87448,하이브리드,100,2024-04-28
KG모빌리티,티볼리,2022,232899,전기,198,2025-02-27
현대,쏘나타,2020,99838,전기,547,2025-10-02
KG모빌리티,티볼리,2015,75007,경유,100,2024-10-21
KG모빌리티,렉스턴,2013,12567,디젤,661,2025-12-27
기아,K7,2020,8584,전기,949,2024.04.05
기아,카니발,2013,125965,휘발유,100,2025-10-25
기아,K9,2023,81509,하이브리드,2101,2025-03-01
KG모빌리티,렉스턴,2015,124743,경유,100,2025-01-27
기아,스포티지,2020,200636,경유,241,2024-03-12
르노,XM3,2017,249907,하이브리드,100,2024-01-03
르노,QM6,2016,224539,전기,100,2024-06-01
KG모빌리티,렉스턴,2017,92147,전기,526,2025-04-11
르노,SM6,2023,67601,전기,1302,2024-08-27
KG모빌리티,티볼리,2017,200219,전기,100,2025-01-30
기아,K9,2012,38094,하이브리드,226,2024-04-12
KG모빌리티,티볼리,2020,243666,휘발유,100,2026-01-09
기아,K9,2022,45464,전기,976,2026-03-11
르노,XM3,2021,186588,휘발유,100,2024.12.02
KG모빌리티,토레스,,193407,전기,764,2025-07-08
현대,싼타페,2013,66543,하이브리드,100,2024-08-20
현대,투싼,2013,204326,휘발유,100,2025-03-30
기아,쏘렌토,2016,241827,휘발유,100,2024-11-28
현대,그랜저,2017,103262,디젤,355,2024-09-07
KG모빌리티,코란도,2014,50893,전기,100,2025-09-26
기아,K9,2021,42517,전기,1097,2025-10-15
르노,XM3,2016,179808,전기,100,2024-10-21
기아,K3,2019,95587,하이브리드,389,2025-10-16
KG모빌리티,토레스,2019,226591,경유,100,2025-01-28
KG모빌리티,티볼리,2015,104972,하이브리드,100,2025-08-11
르노,QM6,2016,10751,전기,576,2024-10-08
현대,싼타페,2022,209029,휘발유,534,2025-09-12
KG모빌리티,토레스,2024,214416,하이브리드,352,2024-08-12
기아,스포티지,2016,182671,경유,100,2025-10-05
현대,팰리세이드,2022,15334,전기,1628,2024-02-04
르노,QM6,2014,28627,하이브리드,335,2024-11-30
KG모빌리티,코란도,2015,39644,하이브리드,322,2025.06.27
르노,SM6,2016,244612,전기,100,2024-10-29
르노,SM6,2019,24739,경유,449,2025-11-23
KG모빌리티,토레스,2013,212272,휘발유,100,2024-09-27
현대,투싼,2017,181377,하이브리드,100,2025-08-21
KG모빌리티,토레스,2013,181904,전기,100,2024-01-26
르노,QM6,2015,174778,전기,100,2025-12-18
르노,QM6,,35585,가솔린,309,2024-02-08
르노,XM3,2013,30478,디젤,100,2025-02-01
KG모빌리티,토레스,2022,199809,전기,528,2025-08-24
기아,K9,,30957,EV,2671,2025-09-22
KG모빌리티,토레스,2012,185952,경유,100,2025-03-30
KG모빌리티,코란도,2017,31045,하이브리드,517,2025-07-11
르노,SM6,2018,77320,휘발유,128,2025-04-10
현대,팰리세이드,2015,173218,휘발유,100,2024-02-21
르노,SM6,,211301,Diesel,100,2024-03-11
기아,스포티지,2015,218136,경유,100,2024-12-02
기아,카니발,2021,5743,경유,888,2024-05-13
르노,SM6,2013,178292,휘발유,100,2024-05-14
현대,그랜저,2024,211682,하이브리드,1090,2024-01-17
기아,K7,2012,38228,전기,119,2025-06-22
현대,팰리세이드,2013,129845,하이브리드,100,2025-06-09
현대,투싼,2020,63077,휘발유,981,2026-01-14
르노,XM3,2022,13165,전기,782,2025-02-15
KG모빌리티,티볼리,2019,191751,전기,119,2024-03-16
현대,그랜저,2021,43884,경유,787,2024-10-08
르노,XM3,2021,144082,전기,213,2025-06-01
KG모빌리티,티볼리,2024,188967,경유,308,2025-03-16
KG모빌리티,코란도,2018,93848,전기,401,2025-02-12
KG모빌리티,티볼리,2017,116873,하이브리드,100,2025-01-18
기아,쏘렌토,2019,22598,휘발유,648,2024-04-05
KG모빌리티,티볼리,2023,198670,경유,396,2025-07-23
현대,싼타페,2020,152241,휘발유,100,2025-02-24
르노,QM6,2024,115870,휘발유,1788,2024-10-21
르노,XM3,2013,156497,경유,100,2024-06-07
KG모빌리티,코란도,,96780,하이브리드,100,2024-04-27
르노,QM6,2015,216608,휘발유,100,2025-09-15
르노,SM6,2014,76636,하이브리드,100,2024-12-13
르노,SM6,2014,233029,전기,100,2024-03-12
기아,쏘렌토,2022,13036,경유,1175,2025-01-20
KG모빌리티,렉스턴,2017,46263,하이브리드,583,2026-01-08
르노,QM6,2021,27270,휘발유,1332,2024-06-08
기아,카니발,2021,,휘발유,1188,2024-10-05
KG모빌리티,렉스턴,2019,,전기,401,2024-10-06
기아,카니발,2020,34836,전기,658,2024-04-23
르노,QM6,2022,160486,하이브리드,500,2024-02-16
기아,K9,2021,19360,경유,804,2024-11-04
기아,카니발,2014,205320,하이브리드,100,2024-12-01
현대,아반떼,2019,200825,경유,100,2024-05-12
KG모빌리티,코란도,2020,151466,하이브리드,452,2024-03-14
KG모빌리티,티볼리,2018,9912,휘발유,616,2024-11-16
KG모빌리티,렉스턴,2023,172809,하이브리드,1414,2024-04-27
KG모빌리티,티볼리,2017,50055,전기,477,2025-12-07
르노,SM6,2018,226376,경유,100,2025-03-22
KG모빌리티,티볼리,2018,233202,하이브리드,100,2024.08.14
르노,SM6,2013,138820,휘발유,100,2025-06-27
기아,카니발,2017,97038,경유,207,2024-08-29
현대,쏘나타,2016,56713,경유,100,2026-02-17
현대,쏘나타,2024,169613,전기,966,2026-02-11
KG모빌리티,토레스,2022,87873,전기,505,2024.03.10
KG모빌리티,렉스턴,2022,84382,하이브리드,2324,2025-08-28
현대,그랜저,2020,24448,전기,1111,2025-04-07
현대,아반떼,2017,223024,휘발유,100,2025-10-22
현대,싼타페,2021,137924,전기,325,2025-08-17
현대,투싼,2024,154856,경유,1273,2024-11-25
KG모빌리티,코란도,2012,123101,하이브리드,100,2026-01-01
현대,싼타페,2022,50235,경유,574,2025.12.25
KG모빌리티,렉스턴,2020,142035,경유,986,2025-01-07
르노,XM3,2018,112156,하이브리드,280,2025-11-26
현대,팰리세이드,2022,92726,하이브리드,721,2024.04.06
KG모빌리티,토레스,2016,194722,경유,100,2024-12-07
현대,싼타페,2022,42074,하이브리드,1552,2024-11-13
KG모빌리티,코란도,2021,190816,휘발유,564,2024-11-13
KG모빌리티,토레스,2014,180666,휘발유,100,2025-10-23
KG모빌리티,토레스,2012,100052,경유,100,2024-08-07
르노,XM3,,64386,경유,100,2024-03-20
르노,SM6,2020,207080,휘발유,100,2025-11-08
르노,QM6,2014,161564,경유,100,2024-06-15
기아,카니발,2023,207138,경유,671,2026-01-08
KG모빌리티,티볼리,2018,100498,경유,284,2025-03-30
르노,QM6,2024,122683,경유,816,2024-11-12
KG모빌리티,코란도,2017,182814,전기,100,2025-04-17
르노,XM3,2020,143270,경유,173,2024-07-23
기아,카니발,2016,18678,전기,460,2025-01-15
현대,팰리세이드,2020,228128,하이브리드,100,2024-03-26
기아,K7,2019,242320,경유,100,2025-03-23
현대,쏘나타,2019,236900,휘발유,100,2025-02-28
현대,투싼,2020,103031,전기,232,2024-03-24
르노,SM6,2012,88541,휘발유,100,2026-01-01
르노,SM6,2014,15040,전기,222,2025-12-13
기아,카니발,2023,127974,휘발유,845,2024-03-22
현대,그랜저,2015,223880,전기,100,2024-04-23
르노,SM6,2016,36941,경유,130,2025-03-05
KG모빌리티,티볼리,2013,224332,전기,100,2025-09-03
현대,팰리세이드,2020,155745,경유,349,2024-10-25
KG모빌리티,티볼리,2021,97488,EV,396,2024-07-10
현대,싼타페,2017,22741,휘발유,686,2025-02-03
KG모빌리티,티볼리,2022,106418,하이브리드,650,2026-02-04
현대,그랜저,2024,22710,경유,2352,2026-01-20
현대,싼타페,2023,203358,경유,322,2024-02-15
르노,QM6,2017,218256,경유,100,2026-03-08
KG모빌리티,렉스턴,2022,52783,경유,2515,2024-03-05
KG모빌리티,티볼리,2016,57845,경유,100,2024-02-12
르노,XM3,2020,109392,전기,648,2024-09-16
현대,팰리세이드,2015,80002,휘발유,179,2025.11.02
르노,XM3,2013,214542,전기,100,2025-02-13
KG모빌리티,렉스턴,2017,53973,전기,664,2025-01-11
르노,SM6,2023,116280,전기,439,2025-09-08
기아,스포티지,2016,89203,휘발유,100,2024-12-01
르노,XM3,2019,162973,전기,137,2024-06-19
KG모빌리티,토레스,2019,16103,하이브리드,877,2025-09-21
KG모빌리티,토레스,2022,212481,휘발유,734,2024-03-17
KG모빌리티,토레스,2020,215002,경유,100,2024-02-01
기아,카니발,2021,,전기,462,2024-02-05
기아,K3,2015,209083,하이브리드,100,2025-01-05
KG모빌리티,티볼리,2021,45222,전기,1056,2025-01-14
르노,XM3,2024,25155,경유,1807,2025-06-26
르노,XM3,2017,175278,경유,100,2024-04-26
현대,팰리세이드,2014,135821,전기,100,2025-07-29
현대,그랜저,2024,73233,전기,3162,2024-08-07
르노,QM6,2019,57475,경유,274,2024-03-16
KG모빌리티,코란도,2023,121683,하이브리드,423,2025-11-14
르노,QM6,2013,149178,하이브리드,100,2024-11-03
기아,쏘렌토,2023,248092,경유,1749,2025-01-05
기아,K3,2015,212635,경유,100,2025-05-20
현대,그랜저,2020,155019,EV,549,2025-07-18
기아,스포티지,2013,22235,전기,147,2026-01-04
KG모빌리티,렉스턴,2024,112330,휘발유,3320,2024-05-08
르노,QM6,2013,122958,하이브리드,100,2024-05-11
기아,카니발,2014,118408,휘발유,100,2024-05-07
기아,K7,2014,47458,경유,100,2024-12-20
르노,SM6,2016,56459,하이브리드,269,2024-05-08
르노,QM6,2020,29491,경유,806,2025-08-29
기아,K5,2022,168703,HEV,709,2025-07-31
현대,아반떼,2013,16917,HEV,332,2025-10-28
기아,카니발,2021,114205,휘발유,656,2025-05-24
르노,QM6,2016,131601,전기,100,2024-10-31
KG모빌리티,티볼리,2023,20705,전기,1016,2025-03-01
KG모빌리티,렉스턴,2015,94179,경유,279,2024-11-16
르노,QM6,2017,109521,하이브리드,100,2025-06-11
현대,그랜저,2015,127282,하이브리드,100,2025-04-05
기아,K5,2013,18265,전기,162,2025-09-22
KG모빌리티,코란도,2014,218248,하이브리드,100,2024-07-13
기아,K9,2020,127372,하이브리드,888,2025-05-24
현대,아반떼,2018,137499,경유,100,2024-08-08
르노,SM6,2012,78755,전기,100,2024-10-19
현대,아반떼,2018,40110,하이브리드,701,2026-01-14
르노,XM3,2017,16860,휘발유,453,2025-08-06
기아,K7,2020,80655,전기,219,2025-05-31
KG모빌리티,토레스,2021,183362,휘발유,304,2024-05-11
현대,투싼,2017,213377,하이브리드,100,2026-02-12
기아,K5,2021,138463,휘발유,338,2024-02-16
현대,쏘나타,2023,92304,전기,1471,2025-06-15
KG모빌리티,코란도,2021,239129,경유,100,2024-12-01
르노,SM6,2018,,하이브리드,100,2025-08-30
르노,QM6,2020,144549,하이브리드,221,2025-05-01
현대,그랜저,2017,181634,전기,100,2025-08-20
르노,QM6,2023,169956,전기,105,2024-09-28
기아,쏘렌토,2012,157967,경유,100,2025-06-20
KG모빌리티,코란도,2022,68490,휘발유,474,2024-07-14
현대,투싼,2017,114780,전기,100,2025-12-08
기아,K9,2020,208154,전기,0,2026-01-23
현대,팰리세이드,2014,140969,하이브리드,100,2025-11-09
KG모빌리티,렉스턴,2017,50398,하이브리드,647,2025-07-13
르노,QM6,2024,,HEV,988,2025-09-16
KG모빌리티,코란도,2015,78139,하이브리드,100,2024-08-18
르노,XM3,2023,59336,전기,1492,2024-11-20
KG모빌리티,토레스,2020,249763,하이브리드,100,2024-10-21
현대,싼타페,2022,147394,전기,452,2024-12-19
기아,K7,2012,80400,휘발유,100,2024-12-20
KG모빌리티,토레스,2023,130587,디젤,537,2025-07-05
르노,QM6,2023,76203,휘발유,713,2025-09-22
기아,K5,2012,180592,경유,100,2025-10-15
기아,K3,2013,113344,전기,100,2024.04.12
기아,K3,2020,248557,EV,100,2025-10-30
KG모빌리티,렉스턴,2022,57286,하이브리드,2374,2024-11-24
르노,QM6,2012,243010,휘발유,100,2025-10-29
기아,스포티지,2023,194560,휘발유,1018,2024-06-28
KG모빌리티,코란도,2012,,전기,100,2024-07-09
르노,SM6,2012,83221,휘발유,100,2024-12-09
르노,XM3,2022,147422,전기,606,2024-05-17
KG모빌리티,토레스,2015,217025,하이브리드,100,2024-06-15
KG모빌리티,토레스,2023,53810,하이브리드,669,2024-10-29
기아,K5,2021,229433,전기,100,2025-03-13
르노,SM6,2018,180441,경유,100,2024-05-23
KG모빌리티,토레스,2015,6790,전기,306,2024-08-29
KG모빌리티,토레스,2017,84153,휘발유,203,2024-09-24
르노,QM6,2015,,휘발유,373,2025-04-21
르노,SM6,2018,184850,하이브리드,100,2025-12-07
현대,팰리세이드,2016,101349,경유,383,2024-08-12
기아,K9,2014,124269,하이브리드,100,2025-03-01
KG모빌리티,코란도,2024,69871,휘발유,1741,2025-06-22
KG모빌리티,토레스,2013,245450,휘발유,100,2024-03-04
기아,스포티지,2020,44282,하이브리드,471,2025-06-16
KG모빌리티,티볼리,2022,58844,전기,1255,2024-04-03
KG모빌리티,티볼리,2019,39588,전기,620,2025-04-12
현대,싼타페,2019,181362,하이브리드,104,2026.01.10
현대,투싼,2016,,Diesel,100,2025-08-15
현대,아반떼,2018,95316,휘발유,323,2025-07-08
현대,아반떼,2019,13319,전기,602,2024-07-03
기아,카니발,2022,196178,전기,492,2025-01-18
KG모빌리티,렉스턴,2018,103473,경유,117,2025-10-31
르노,SM6,2014,145839,경유,100,2026.01.15
기아,카니발,2012,203227,하이브리드,100,2025-04-19
KG모빌리티,렉스턴,2015,69883,하이브리드,301,2024-06-07
르노,SM6,2023,205668,휘발유,100,2025-11-07
KG모빌리티,티볼리,2015,59023,휘발유,100,2025.08.31
현대,투싼,2021,181166,휘발유,399,2024-09-07
현대,투싼,2019,66430,경유,503,2026-02-11
현대,쏘나타,2020,80828,하이브리드,342,2025-08-14
르노,SM6,2016,234705,경유,100,2025-02-27
르노,XM3,2012,150940,디젤,100,2025-10-03
KG모빌리티,렉스턴,2012,95286,전기,125,2025-06-21
르노,QM6,2018,112022,하이브리드,100,2025-01-20
기아,카니발,2020,129130,경유,106,2024-11-03
기아,카니발,2019,244793,전기,100,2025-03-02
기아,K9,2015,71845,하이브리드,115,2025-10-24
현대,투싼,,29238,경유,455,2024-02-22
르노,XM3,2022,163589,가솔린,609,2024-03-15
기아,카니발,2024,159031,경유,1360,2025-05-05
기아,카니발,2017,84478,휘발유,379,2024-08-04
기아,쏘렌토,2013,200789,전기,100,2024-09-05
기아,K9,2015,149724,하이브리드,100,2025-01-24
KG모빌리티,토레스,2016,73566,전기,100,2025-04-22
현대,팰리세이드,2019,204656,하이브리드,720,2024-07-27
르노,XM3,2018,16984,경유,638,2026-01-29
기아,K3,2016,150047,전기,100,2024-10-29
기아,K5,2017,65298,경유,201,2025-05-26
르노,XM3,2024,220375,전기,704,2025-04-16
기아,쏘렌토,2024,97320,경유,1459,2026-01-07
KG모빌리티,코란도,2020,173246,휘발유,439,2025-06-20
현대,아반떼,2022,17717,휘발유,1511,2025-02-26
기아,카니발,2022,65668,디젤,527,2024-01-10
기아,스포티지,2019,102832,전기,100,2025-11-06
KG모빌리티,티볼리,,144516,전기,100,2024-01-13
현대,싼타페,2023,77021,하이브리드,1210,2024-01-18
KG모빌리티,코란도,2013,245660,경유,100,2024-09-03
기아,스포티지,2020,71169,하이브리드,839,2024-09-30
KG모빌리티,티볼리,2017,111437,경유,100,2025-12-14
기아,K7,2022,222071,휘발유,95000,2025-10-31
현대,아반떼,2018,104421,전기,100,2024-02-27
현대,팰리세이드,2014,26675,전기,442,2025.10.22
르노,QM6,2013,239564,휘발유,100,2024-08-23
기아,카니발,2023,237667,전기,445,2024-10-04
현대,아반떼,2022,247636,Gasoline,100,2024-07-02
르노,SM6,2015,158887,전기,100,2024-03-19
르노,SM6,2021,68038,전기,840,2025-11-24
르노,XM3,2024,198919,휘발유,296,2025-05-27
르노,SM6,2013,119580,휘발유,100,2024-12-14
KG모빌리티,토레스,2012,171231,전기,100,2025-05-17
기아,K7,2020,103415,경유,382,2025-11-27
KG모빌리티,티볼리,2024,167166,경유,684,2025-12-31
현대,아반떼,2016,45428,경유,221,2026-01-27
KG모빌리티,토레스,2017,32931,휘발유,226,2024-11-11
KG모빌리티,토레스,2024,75717,경유,856,2024-03-30
기아,K9,2019,151010,전기,614,2024-04-15
현대,아반떼,2017,150285,하이브리드,100,2025-01-29
현대,그랜저,2018,106659,휘발유,881,2026-01-12
기아,스포티지,2020,49455,전기,848,2024-06-22
기아,K7,2016,75361,경유,117,2024-03-05
기아,K9,2016,115389,전기,100,2024-03-19
르노,XM3,2015,193979,전기,100,2025-08-31
기아,K9,2013,40517,휘발유,190,2025-02-09
르노,QM6,2018,215783,하이브리드,100,2025-03-26
르노,XM3,2022,160816,하이브리드,124,2024-11-24
기아,K9,2017,51566,전기,1120,2024-11-22
르노,QM6,2023,170911,경유,684,2024-11-29
KG모빌리티,토레스,2024,108005,휘발유,1083,2025-07-31
기아,스포티지,2020,52166,휘발유,831,2026-01-14
KG모빌리티,코란도,2019,214108,휘발유,100,2025-02-22
KG모빌리티,코란도,2022,84385,하이브리드,619,2025-11-05
기아,쏘렌토,2018,211851,휘발유,100,2025-04-04
KG모빌리티,렉스턴,2020,137805,전기,1492,2025-07-10
현대,그랜저,2023,239750,휘발유,2073,2024-04-21
기아,쏘렌토,2022,98063,휘발유,909,2025-07-30
KG모빌리티,토레스,2024,117841,휘발유,651,2024-04-10
르노,SM6,2020,200783,경유,100,2025-04-01
르노,XM3,2019,207464,경유,100,2024-12-19
현대,투싼,2013,,휘발유,100,2024-04-28
기아,K7,2016,94932,경유,100,2025-06-17
KG모빌리티,토레스,2019,,전기,615,2024-11-22
현대,그랜저,2012,217385,Gasoline,100,2024-01-24
르노,QM6,2013,182508,경유,100,2026-01-28
기아,스포티지,,149679,하이브리드,100,2025-07-27
KG모빌리티,렉스턴,2015,214126,경유,100,2024-07-09
KG모빌리티,렉스턴,2012,198301,경유,100,2025-04-05
KG모빌리티,렉스턴,2012,189742,경유,100,2024-10-12
현대,싼타페,2013,214584,경유,100,2025-01-09
르노,SM6,2019,34872,전기,479,2025-06-24
르노,QM6,2018,165250,휘발유,100,2024-12-22
르노,XM3,2021,50227,하이브리드,1154,2025-09-21
현대,팰리세이드,2014,87099,경유,100,2024-11-08
현대,쏘나타,2017,186780,전기,100,2025-03-04
기아,스포티지,2018,115897,전기,100,2025-10-12
기아,스포티지,2014,133356,경유,100,2024-07-10
르노,XM3,2021,19053,하이브리드,1357,2024-01-10
KG모빌리티,코란도,2015,218703,전기,100,2025-02-22
KG모빌리티,렉스턴,2023,225172,전기,1219,2024-06-20
현대,싼타페,2012,213635,경유,100,2024-10-26
현대,그랜저,2015,,경유,100,2026-03-10
KG모빌리티,렉스턴,2020,138904,휘발유,234,2024-10-01
르노,QM6,2024,15907,전기,2128,2025-07-13
기아,K9,2013,197935,경유,100,2024-10-31
현대,투싼,2016,96377,Gasoline,161,2025-03-25
현대,쏘나타,2015,217520,하이브리드,100,2025-12-28
KG모빌리티,코란도,2021,41499,경유,1171,2024-07-30
현대,싼타페,2017,144534,경유,100,2024.11.27
르노,XM3,2021,75082,휘발유,1155,2024-05-18
KG모빌리티,티볼리,2016,232291,경유,100,2025-12-19
기아,K5,2014,191487,경유,100,2026-02-18
