,브랜드,차량명,연식,주행거리,연료,가격(만원),등록일자
63,기아,쏘렌토,2015.0,179832.0,하이브리드,100,2026-03-09
64,KG모빌리티,코란도,2015.0,231651.0,경유,100,2025-02-26
65,현대,쏘나타,2023.0,247348.0,EV,102,2025-11-16
66,기아,K7,2014.0,211405.0,가솔린,100,2025-01-26
67,현대,투싼,2015.0,57316.0,전기,244,2024-12-24
68,르노,SM6,2015.0,11203.0,경유,421,2025-02-12
69,르노,XM3,2013.0,207722.0,하이브리드,100,2025-10-18
70,KG모빌리티,토레스,2012.0,35236.0,하이브리드,163,2024-07-01
71,르노,SM6,2013.0,161387.0,하이브리드,100,2026-01-16
72,르노,XM3,2021.0,139066.0,전기,100,2025-08-13
73,기아,K7,2012.0,190803.0,휘발유,100,2025-06-16
74,기아,K7,2018.0,23343.0,하이브리드,821,2030-09-25
75,르노,QM6,2013.0,193679.0,하이브리드,100,2025-06-03
76,르노,QM6,2018.0,90506.0,하이브리드,181,2025-07-21
77,기아,K5,2018.0,179307.0,전기,100,2025-11-24
78,기아,스포티지,2021.0,83892.0,휘발유,615,2024-11-07
79,르노,SM6,2018.0,210981.0,하이브리드,100,2025-04-21
81,기아,쏘렌토,2013.0,79392.0,하이브리드,100,2005-04-24
82,기아,쏘렌토,2016.0,63888.0,Diesel,725,2024-05-30
83,현대,아반떼,2015.0,129554.0,휘발유,100,2025-04-11
84,KG모빌리티,코란도,2023.0,187545.0,전기,466,2025-02-13
85,기아,K5,2022.0,185256.0,휘발유,100,2026-03-08
86,KG모빌리티,코란도,2014.0,215792.0,전기,100,2024-02-21
87,기아,카니발,2013.0,124658.0,전기,100,2014-11-25
88,르노,XM3,2021.0,218649.0,전기,226,2025-07-15
89,KG모빌리티,코란도,2023.0,230835.0,전기,364,2024-09-22
90,기아,카니발,2022.0,77695.0,전기,1213,2025-10-03
91,기아,K7,2019.0,25311.0,하이브리드,823,2024-08-28
92,르노,XM3,2017.0,239101.0,휘발유,100,2024-05-21
93,기아,K5,2018.0,186914.0,경유,100,2024-03-06
94,KG모빌리티,렉스턴,2017.0,147242.0,전기,169,2024-03-04
95,기아,카니발,2018.0,107099.0,휘발유,378,2026-02-22
96,KG모빌리티,렉스턴,2012.0,97211.0,전기,100,2025-03-05
97,기아,K9,2015.0,76548.0,전기,251,2024-01-30
98,KG모빌리티,토레스,2022.0,183032.0,전기,721,2026-01-11
100,현대,아반떼,2022.0,117358.0,전기,341,2024-07-05
101,현대,그랜저,2018.0,90813.0,전기,327,2030-11-24
102,르노,XM3,2016.0,202134.0,전기,100,2024-09-15
103,현대,투싼,2012.0,201352.0,가솔린,100,2024-12-24
104,기아,쏘렌토,2013.0,209795.0,휘발유,100,2026-02-11
105,현대,쏘나타,2015.0,224998.0,Diesel,100,2024-09-01
107,르노,XM3,2014.0,163831.0,휘발유,100,2026-03-07
111,KG모빌리티,토레스,2013.0,137634.0,하이브리드,100,2024-01-13
112,KG모빌리티,렉스턴,2013.0,118645.0,하이브리드,124,2025-10-12
113,KG모빌리티,코란도,2018.0,51173.0,하이브리드,562,2025-09-22
114,KG모빌리티,렉스턴,2018.0,221461.0,하이브리드,254,2024-11-26
115,기아,카니발,2013.0,78119.0,전기,100,2024-09-06
117,KG모빌리티,코란도,2017.0,214146.0,하이브리드,100,2024-10-13
118,르노,QM6,2012.0,140430.0,경유,100,2024-03-28
119,기아,쏘렌토,2018.0,133077.0,경유,499,2025-12-08
120,KG모빌리티,렉스턴,2019.0,212862.0,가솔린,100,2024-10-28
122,르노,XM3,2023.0,149281.0,하이브리드,591,2025-12-20
124,기아,K7,2013.0,199741.0,경유,100,2024-07-15
125,기아,쏘렌토,2019.0,77482.0,하이브리드,1205,2024-04-12
126,기아,K7,2015.0,99602.0,하이브리드,100,2024-01-15
127,기아,K7,2012.0,19293.0,하이브리드,174,2025-12-15
128,기아,쏘렌토,2024.0,133680.0,휘발유,1080,2025-08-10
129,르노,XM3,2019.0,120466.0,경유,102,2024-02-22
130,르노,XM3,2013.0,220512.0,전기,100,2025-05-18
131,현대,싼타페,2022.0,184949.0,경유,100,2024-06-01
132,르노,SM6,2015.0,36051.0,전기,262,2025-09-12
133,기아,카니발,2020.0,104713.0,전기,390,2024-10-31
134,KG모빌리티,토레스,2021.0,167798.0,휘발유,100,2026-02-20
135,기아,쏘렌토,2015.0,74375.0,Gasoline,415,2024-06-09
136,기아,K5,2020.0,24677.0,휘발유,563,2025-02-22
137,KG모빌리티,렉스턴,2016.0,13556.0,하이브리드,513,2025-12-24
138,르노,QM6,2019.0,23659.0,경유,814,2024-09-27
139,기아,K9,2013.0,147753.0,경유,100,2024-09-29
140,기아,K3,2012.0,48495.0,하이브리드,100,2025-09-01
141,르노,XM3,2013.0,127866.0,하이브리드,100,2017-12-25
142,KG모빌리티,토레스,2020.0,146552.0,전기,214,2024-03-23
144,현대,쏘나타,2022.0,224141.0,휘발유,582,2026-02-22
145,르노,QM6,2012.0,205044.0,경유,100,2025-04-26
146,KG모빌리티,토레스,2014.0,158440.0,전기,100,2024-04-03
147,KG모빌리티,토레스,2018.0,92374.0,휘발유,126,2024-06-13
148,르노,XM3,2023.0,134884.0,전기,609,2026-02-17
149,현대,투싼,2013.0,87448.0,하이브리드,100,2024-04-28
150,KG모빌리티,티볼리,2022.0,232899.0,전기,198,2025-02-27
151,현대,쏘나타,2020.0,99838.0,전기,547,2025-10-02
152,KG모빌리티,티볼리,2015.0,75007.0,경유,100,2024-10-21
153,KG모빌리티,렉스턴,2013.0,12567.0,디젤,661,2025-12-27
154,기아,K7,2020.0,8584.0,전기,949,2024-04-05
155,기아,카니발,2013.0,125965.0,휘발유,100,2025-10-25
157,KG모빌리티,렉스턴,2015.0,124743.0,경유,100,2025-01-27
158,기아,스포티지,2020.0,200636.0,경유,241,2024-03-12
159,르노,XM3,2017.0,249907.0,하이브리드,100,2024-01-03
160,르노,QM6,2016.0,224539.0,전기,100,2024-06-01
161,KG모빌리티,렉스턴,2017.0,92147.0,전기,526,2025-04-11
162,르노,SM6,2023.0,67601.0,전기,1302,2027-08-24
163,KG모빌리티,티볼리,2017.0,200219.0,전기,100,2030-01-25
164,기아,K9,2012.0,38094.0,하이브리드,226,2024-04-12
165,KG모빌리티,티볼리,2020.0,243666.0,휘발유,100,2009-01-26
166,기아,K9,2022.0,45464.0,전기,976,2026-03-11
167,르노,XM3,2021.0,186588.0,휘발유,100,2024-12-02
169,현대,싼타페,2013.0,66543.0,하이브리드,100,2024-08-20
170,현대,투싼,2013.0,204326.0,휘발유,100,2025-03-30
171,기아,쏘렌토,2016.0,241827.0,휘발유,100,2024-11-28
172,현대,그랜저,2017.0,103262.0,디젤,355,2024-09-07
173,KG모빌리티,코란도,2014.0,50893.0,전기,100,2025-09-26
174,기아,K9,2021.0,42517.0,전기,1097,2015-10-25
175,르노,XM3,2016.0,179808.0,전기,100,2024-10-21
176,기아,K3,2019.0,95587.0,하이브리드,389,2025-10-16
177,KG모빌리티,토레스,2019.0,226591.0,경유,100,2025-01-28
178,KG모빌리티,티볼리,2015.0,104972.0,하이브리드,100,2025-08-11
179,르노,QM6,2016.0,10751.0,전기,576,2024-10-08
180,현대,싼타페,2022.0,209029.0,휘발유,534,2025-09-12
181,KG모빌리티,토레스,2024.0,214416.0,하이브리드,352,2024-08-12
182,기아,스포티지,2016.0,182671.0,경유,100,2025-10-05
184,르노,QM6,2014.0,28627.0,하이브리드,335,2024-11-30
185,KG모빌리티,코란도,2015.0,39644.0,하이브리드,322,2025-06-27
186,르노,SM6,2016.0,244612.0,전기,100,2024-10-29
187,르노,SM6,2019.0,24739.0,경유,449,2025-11-23
188,KG모빌리티,토레스,2013.0,212272.0,휘발유,100,2024-09-27
189,현대,투싼,2017.0,181377.0,하이브리드,100,2021-08-25
190,KG모빌리티,토레스,2013.0,181904.0,전기,100,2024-01-26
191,르노,QM6,2015.0,174778.0,전기,100,2018-12-25
193,르노,XM3,2013.0,30478.0,디젤,100,2025-02-01
194,KG모빌리티,토레스,2022.0,199809.0,전기,528,2025-08-24
196,KG모빌리티,토레스,2012.0,185952.0,경유,100,2025-03-30
197,KG모빌리티,코란도,2017.0,31045.0,하이브리드,517,2025-07-11
198,르노,SM6,2018.0,77320.0,휘발유,128,2025-04-10
199,현대,팰리세이드,2015.0,173218.0,휘발유,100,2024-02-21
201,기아,스포티지,2015.0,218136.0,경유,100,2024-12-02
202,기아,카니발,2021.0,5743.0,경유,888,2024-05-13
203,르노,SM6,2013.0,178292.0,휘발유,100,2024-05-14
204,현대,그랜저,2024.0,211682.0,하이브리드,1090,2024-01-17
205,기아,K7,2012.0,38228.0,전기,119,2025-06-22
206,현대,팰리세이드,2013.0,129845.0,하이브리드,100,2025-06-09
207,현대,투싼,2020.0,63077.0,휘발유,981,2026-01-14
208,르노,XM3,2022.0,13165.0,전기,782,2025-02-15
209,KG모빌리티,티볼리,2019.0,191751.0,전기,119,2024-03-16
210,현대,그랜저,2021.0,43884.0,경유,787,2024-10-08
211,르노,XM3,2021.0,144082.0,전기,213,2025-06-01
212,KG모빌리티,티볼리,2024.0,188967.0,경유,308,2025-03-16
213,KG모빌리티,코란도,2018.0,93848.0,전기,401,2025-02-12
214,KG모빌리티,티볼리,2017.0,116873.0,하이브리드,100,2025-01-18
215,기아,쏘렌토,2019.0,22598.0,휘발유,648,2024-04-05
216,KG모빌리티,티볼리,2023.0,198670.0,경유,396,2025-07-23
217,현대,싼타페,2020.0,152241.0,휘발유,100,2025-02-24
219,르노,XM3,2013.0,156497.0,경유,100,2024-06-07
221,르노,QM6,2015.0,216608.0,휘발유,100,2025-09-15
222,르노,SM6,2014.0,76636.0,하이브리드,100,2024-12-13
223,르노,SM6,2014.0,233029.0,전기,100,2024-03-12
224,기아,쏘렌토,2022.0,13036.0,경유,1175,2025-01-20
225,KG모빌리티,렉스턴,2017.0,46263.0,하이브리드,583,2026-01-08
226,르노,QM6,2021.0,27270.0,휘발유,1332,2024-06-08
229,기아,카니발,2020.0,34836.0,전기,658,2024-04-23
230,르노,QM6,2022.0,160486.0,하이브리드,500,2024-02-16
231,기아,K9,2021.0,19360.0,경유,804,2024-11-04
232,기아,카니발,2014.0,205320.0,하이브리드,100,2024-12-01
233,현대,아반떼,2019.0,200825.0,경유,100,2024-05-12
234,KG모빌리티,코란도,2020.0,151466.0,하이브리드,452,2024-03-14
235,KG모빌리티,티볼리,2018.0,9912.0,휘발유,616,2024-11-16
236,KG모빌리티,렉스턴,2023.0,172809.0,하이브리드,1414,2024-04-27
237,KG모빌리티,티볼리,2017.0,50055.0,전기,477,2025-12-07
238,르노,SM6,2018.0,226376.0,경유,100,2025-03-22
239,KG모빌리티,티볼리,2018.0,233202.0,하이브리드,100,2024-08-14
240,르노,SM6,2013.0,138820.0,휘발유,100,2025-06-27
241,기아,카니발,2017.0,97038.0,경유,207,2024-08-29
242,현대,쏘나타,2016.0,56713.0,경유,100,2026-02-17
243,현대,쏘나타,2024.0,169613.0,전기,966,2026-02-11
244,KG모빌리티,토레스,2022.0,87873.0,전기,505,2024-03-10
246,현대,그랜저,2020.0,24448.0,전기,1111,2025-04-07
247,현대,아반떼,2017.0,223024.0,휘발유,100,2025-10-22
248,현대,싼타페,2021.0,137924.0,전기,325,2025-08-17
249,현대,투싼,2024.0,154856.0,경유,1273,2024-11-25
250,KG모빌리티,코란도,2012.0,123101.0,하이브리드,100,2026-01-01
251,현대,싼타페,2022.0,50235.0,경유,574,2025-12-25
252,KG모빌리티,렉스턴,2020.0,142035.0,경유,986,2025-01-07
253,르노,XM3,2018.0,112156.0,하이브리드,280,2025-11-26
254,현대,팰리세이드,2022.0,92726.0,하이브리드,721,2024-04-06
255,KG모빌리티,토레스,2016.0,194722.0,경유,100,2024-12-07
257,KG모빌리티,코란도,2021.0,190816.0,휘발유,564,2024-11-13
258,KG모빌리티,토레스,2014.0,180666.0,휘발유,100,2025-10-23
259,KG모빌리티,토레스,2012.0,100052.0,경유,100,2024-08-07
261,르노,SM6,2020.0,207080.0,휘발유,100,2025-11-08
262,르노,QM6,2014.0,161564.0,경유,100,2024-06-15
263,기아,카니발,2023.0,207138.0,경유,671,2026-01-08
264,KG모빌리티,티볼리,2018.0,100498.0,경유,284,2025-03-30
265,르노,QM6,2024.0,122683.0,경유,816,2012-11-24
266,KG모빌리티,코란도,2017.0,182814.0,전기,100,2025-04-17
267,르노,XM3,2020.0,143270.0,경유,173,2024-07-23
268,기아,카니발,2016.0,18678.0,전기,460,2025-01-15
269,현대,팰리세이드,2020.0,228128.0,하이브리드,100,2024-03-26
270,기아,K7,2019.0,242320.0,경유,100,2025-03-23
271,현대,쏘나타,2019.0,236900.0,휘발유,100,2025-02-28
272,현대,투싼,2020.0,103031.0,전기,232,2024-03-24
273,르노,SM6,2012.0,88541.0,휘발유,100,2026-01-01
274,르노,SM6,2014.0,15040.0,전기,222,2025-12-13
275,기아,카니발,2023.0,127974.0,휘발유,845,2024-03-22
276,현대,그랜저,2015.0,223880.0,전기,100,2024-04-23
277,르노,SM6,2016.0,36941.0,경유,130,2025-03-05
278,KG모빌리티,티볼리,2013.0,224332.0,전기,100,2003-09-25
279,현대,팰리세이드,2020.0,155745.0,경유,349,2024-10-25
280,KG모빌리티,티볼리,2021.0,97488.0,EV,396,2024-07-10
281,현대,싼타페,2017.0,22741.0,휘발유,686,2025-02-03
282,KG모빌리티,티볼리,2022.0,106418.0,하이브리드,650,2026-02-04
284,현대,싼타페,2023.0,203358.0,경유,322,2024-02-15
285,르노,QM6,2017.0,218256.0,경유,100,2026-03-08
287,KG모빌리티,티볼리,2016.0,57845.0,경유,100,2024-02-12
288,르노,XM3,2020.0,109392.0,전기,648,2024-09-16
289,현대,팰리세이드,2015.0,80002.0,휘발유,179,2025-11-02
290,르노,XM3,2013.0,214542.0,전기,100,2025-02-13
291,KG모빌리티,렉스턴,2017.0,53973.0,전기,664,2025-01-11
292,르노,SM6,2023.0,116280.0,전기,439,2025-09-08
293,기아,스포티지,2016.0,89203.0,휘발유,100,2001-12-24
294,르노,XM3,2019.0,162973.0,전기,137,2024-06-19
295,KG모빌리티,토레스,2019.0,16103.0,하이브리드,877,2025-09-21
296,KG모빌리티,토레스,2022.0,212481.0,휘발유,734,2024-03-17
297,KG모빌리티,토레스,2020.0,215002.0,경유,100,2024-02-01
299,기아,K3,2015.0,209083.0,하이브리드,100,2025-01-05
300,KG모빌리티,티볼리,2021.0,45222.0,전기,1056,2025-01-14
302,르노,XM3,2017.0,175278.0,경유,100,2024-04-26
303,현대,팰리세이드,2014.0,135821.0,전기,100,2025-07-29
305,르노,QM6,2019.0,57475.0,경유,274,2024-03-16
306,KG모빌리티,코란도,2023.0,121683.0,하이브리드,423,2025-11-14
307,르노,QM6,2013.0,149178.0,하이브리드,100,2024-11-03
309,기아,K3,2015.0,212635.0,경유,100,2025-05-20
310,현대,그랜저,2020.0,155019.0,EV,549,2025-07-18
311,기아,스포티지,2013.0,22235.0,전기,147,2026-01-04
313,르노,QM6,2013.0,122958.0,하이브리드,100,2024-05-11
314,기아,카니발,2014.0,118408.0,휘발유,100,2024-05-07
315,기아,K7,2014.0,47458.0,경유,100,2024-12-20
316,르노,SM6,2016.0,56459.0,하이브리드,269,2024-05-08
317,르노,QM6,2020.0,29491.0,경유,806,2025-08-29
318,기아,K5,2022.0,168703.0,HEV,709,2025-07-31
319,현대,아반떼,2013.0,16917.0,HEV,332,2025-10-28
320,기아,카니발,2021.0,114205.0,휘발유,656,2025-05-24
321,르노,QM6,2016.0,131601.0,전기,100,2024-10-31
322,KG모빌리티,티볼리,2023.0,20705.0,전기,1016,2025-03-01
323,KG모빌리티,렉스턴,2015.0,94179.0,경유,279,2024-11-16
324,르노,QM6,2017.0,109521.0,하이브리드,100,2025-06-11
325,현대,그랜저,2015.0,127282.0,하이브리드,100,2025-04-05
326,기아,K5,2013.0,18265.0,전기,162,2025-09-22
327,KG모빌리티,코란도,2014.0,218248.0,하이브리드,100,2024-07-13
328,기아,K9,2020.0,127372.0,하이브리드,888,2025-05-24
329,현대,아반떼,2018.0,137499.0,경유,100,2024-08-08
330,르노,SM6,2012.0,78755.0,전기,100,2019-10-24
331,현대,아반떼,2018.0,40110.0,하이브리드,701,2026-01-14
332,르노,XM3,2017.0,16860.0,휘발유,453,2025-08-06
333,기아,K7,2020.0,80655.0,전기,219,2025-05-31
334,KG모빌리티,토레스,2021.0,183362.0,휘발유,304,2024-05-11
335,현대,투싼,2017.0,213377.0,하이브리드,100,2026-02-12
336,기아,K5,2021.0,138463.0,휘발유,338,2024-02-16
338,KG모빌리티,코란도,2021.0,239129.0,경유,100,2024-12-01
340,르노,QM6,2020.0,144549.0,하이브리드,221,2025-05-01
341,현대,그랜저,2017.0,181634.0,전기,100,2025-08-20
342,르노,QM6,2023.0,169956.0,전기,105,2024-09-28
343,기아,쏘렌토,2012.0,157967.0,경유,100,2025-06-20
344,KG모빌리티,코란도,2022.0,68490.0,휘발유,474,2024-07-14
345,현대,투싼,2017.0,114780.0,전기,100,2025-12-08
346,기아,K9,2020.0,208154.0,전기,0,2026-01-23
347,현대,팰리세이드,2014.0,140969.0,하이브리드,100,2025-11-09
348,KG모빌리티,렉스턴,2017.0,50398.0,하이브리드,647,2025-07-13
350,KG모빌리티,코란도,2015.0,78139.0,하이브리드,100,2024-08-18
352,KG모빌리티,토레스,2020.0,249763.0,하이브리드,100,2024-10-21
353,현대,싼타페,2022.0,147394.0,전기,452,2024-12-19
354,기아,K7,2012.0,80400.0,휘발유,100,2020-12-24
355,KG모빌리티,토레스,2023.0,130587.0,디젤,537,2025-07-05
356,르노,QM6,2023.0,76203.0,휘발유,713,2025-09-22
357,기아,K5,2012.0,180592.0,경유,100,2015-10-25
358,기아,K3,2013.0,113344.0,전기,100,2024-04-12
359,기아,K3,2020.0,248557.0,EV,100,2025-10-30
361,르노,QM6,2012.0,243010.0,휘발유,100,2025-10-29
362,기아,스포티지,2023.0,194560.0,휘발유,1018,2024-06-28
364,르노,SM6,2012.0,83221.0,휘발유,100,2024-12-09
365,르노,XM3,2022.0,147422.0,전기,606,2024-05-17
366,KG모빌리티,토레스,2015.0,217025.0,하이브리드,100,2024-06-15
367,KG모빌리티,토레스,2023.0,53810.0,하이브리드,669,2024-10-29
368,기아,K5,2021.0,229433.0,전기,100,2025-03-13
369,르노,SM6,2018.0,180441.0,경유,100,2024-05-23
370,KG모빌리티,토레스,2015.0,6790.0,전기,306,2024-08-29
371,KG모빌리티,토레스,2017.0,84153.0,휘발유,203,2024-09-24
373,르노,SM6,2018.0,184850.0,하이브리드,100,2025-12-07
374,현대,팰리세이드,2016.0,101349.0,경유,383,2024-08-12
375,기아,K9,2014.0,124269.0,하이브리드,100,2025-03-01
377,KG모빌리티,토레스,2013.0,245450.0,휘발유,100,2024-03-04
378,기아,스포티지,2020.0,44282.0,하이브리드,471,2025-06-16
379,KG모빌리티,티볼리,2022.0,58844.0,전기,1255,2024-04-03
380,KG모빌리티,티볼리,2019.0,39588.0,전기,620,2025-04-12
381,현대,싼타페,2019.0,181362.0,하이브리드,104,2026-01-10
383,현대,아반떼,2018.0,95316.0,휘발유,323,2025-07-08
384,현대,아반떼,2019.0,13319.0,전기,602,2024-07-03
385,기아,카니발,2022.0,196178.0,전기,492,2025-01-18
386,KG모빌리티,렉스턴,2018.0,103473.0,경유,117,2025-10-31
387,르노,SM6,2014.0,145839.0,경유,100,2026-01-15
388,기아,카니발,2012.0,203227.0,하이브리드,100,2025-04-19
389,KG모빌리티,렉스턴,2015.0,69883.0,하이브리드,301,2024-06-07
390,르노,SM6,2023.0,205668.0,휘발유,100,2025-11-07
391,KG모빌리티,티볼리,2015.0,59023.0,휘발유,100,2025-08-31
392,현대,투싼,2021.0,181166.0,휘발유,399,2024-09-07
393,현대,투싼,2019.0,66430.0,경유,503,2026-02-11
394,현대,쏘나타,2020.0,80828.0,하이브리드,342,2025-08-14
395,르노,SM6,2016.0,234705.0,경유,100,2025-02-27
396,르노,XM3,2012.0,150940.0,디젤,100,2025-10-03
397,KG모빌리티,렉스턴,2012.0,95286.0,전기,125,2025-06-21
398,르노,QM6,2018.0,112022.0,하이브리드,100,2025-01-20
399,기아,카니발,2020.0,129130.0,경유,106,2024-11-03
400,기아,카니발,2019.0,244793.0,전기,100,2025-03-02
401,기아,K9,2015.0,71845.0,하이브리드,115,2025-10-24
403,르노,XM3,2022.0,163589.0,가솔린,609,2024-03-15
404,기아,카니발,2024.0,159031.0,경유,1360,2025-05-05
405,기아,카니발,2017.0,84478.0,휘발유,379,2024-08-04
406,기아,쏘렌토,2013.0,200789.0,전기,100,2024-09-05
407,기아,K9,2015.0,149724.0,하이브리드,100,2025-01-24
408,KG모빌리티,토레스,2016.0,73566.0,전기,100,2025-04-22
409,현대,팰리세이드,2019.0,204656.0,하이브리드,720,2024-07-27
410,르노,XM3,2018.0,16984.0,경유,638,2026-01-29
411,기아,K3,2016.0,150047.0,전기,100,2024-10-29
412,기아,K5,2017.0,65298.0,경유,201,2025-05-26
413,르노,XM3,2024.0,220375.0,전기,704,2025-04-16
414,기아,쏘렌토,2024.0,97320.0,경유,1459,2026-01-07
415,KG모빌리티,코란도,2020.0,173246.0,휘발유,439,2025-06-20
417,기아,카니발,2022.0,65668.0,디젤,527,2024-01-10
418,기아,스포티지,2019.0,102832.0,전기,100,2025-11-06
420,현대,싼타페,2023.0,77021.0,하이브리드,1210,2024-01-18
421,KG모빌리티,코란도,2013.0,245660.0,경유,100,2024-09-03
422,기아,스포티지,2020.0,71169.0,하이브리드,839,2030-09-24
423,KG모빌리티,티볼리,2017.0,111437.0,경유,100,2025-12-14
425,현대,아반떼,2018.0,104421.0,전기,100,2024-02-27
426,현대,팰리세이드,2014.0,26675.0,전기,442,2025-10-22
427,르노,QM6,2013.0,239564.0,휘발유,100,2024-08-23
428,기아,카니발,2023.0,237667.0,전기,445,2024-10-04
429,현대,아반떼,2022.0,247636.0,Gasoline,100,2024-07-02
430,르노,SM6,2015.0,158887.0,전기,100,2024-03-19
431,르노,SM6,2021.0,68038.0,전기,840,2025-11-24
432,르노,XM3,2024.0,198919.0,휘발유,296,2025-05-27
433,르노,SM6,2013.0,119580.0,휘발유,100,2024-12-14
434,KG모빌리티,토레스,2012.0,171231.0,전기,100,2025-05-17
435,기아,K7,2020.0,103415.0,경유,382,2025-11-27
436,KG모빌리티,티볼리,2024.0,167166.0,경유,684,2025-12-31
437,현대,아반떼,2016.0,45428.0,경유,221,2026-01-27
438,KG모빌리티,토레스,2017.0,32931.0,휘발유,226,2024-11-11
439,KG모빌리티,토레스,2024.0,75717.0,경유,856,2024-03-30
440,기아,K9,2019.0,151010.0,전기,614,2024-04-15
441,현대,아반떼,2017.0,150285.0,하이브리드,100,2025-01-29
442,현대,그랜저,2018.0,106659.0,휘발유,881,2026-01-12
443,기아,스포티지,2020.0,49455.0,전기,848,2024-06-22
444,기아,K7,2016.0,75361.0,경유,117,2024-03-05
445,기아,K9,2016.0,115389.0,전기,100,2024-03-19
446,르노,XM3,2015.0,193979.0,전기,100,2025-08-31
447,기아,K9,2013.0,40517.0,휘발유,190,2025-02-09
448,르노,QM6,2018.0,215783.0,하이브리드,100,2025-03-26
449,르노,XM3,2022.0,160816.0,하이브리드,124,2024-11-24
450,기아,K9,2017.0,51566.0,전기,1120,2024-11-22
451,르노,QM6,2023.0,170911.0,경유,684,2024-11-29
452,KG모빌리티,토레스,2024.0,108005.0,휘발유,1083,2025-07-31
453,기아,스포티지,2020.0,52166.0,휘발유,831,2026-01-14
454,KG모빌리티,코란도,2019.0,214108.0,휘발유,100,2025-02-22
455,KG모빌리티,코란도,2022.0,84385.0,하이브리드,619,2025-11-05
456,기아,쏘렌토,2018.0,211851.0,휘발유,100,2004-04-25
459,기아,쏘렌토,2022.0,98063.0,휘발유,909,2025-07-30
460,KG모빌리티,토레스,2024.0,117841.0,휘발유,651,2024-04-10
461,르노,SM6,2020.0,200783.0,경유,100,2025-04-01
462,르노,XM3,2019.0,207464.0,경유,100,2024-12-19
