time,temp,pressure,vibration
2026-03-01 01:47:00,450.87,1.039,0.35
2026-03-01 01:48:00,451.29,1.041,0.238
2026-03-01 01:49:00,449.63,0.896,0.186
2026-03-01 01:50:00,440.41,1.074,0.303
2026-03-01 01:51:00,449.87,0.984,0.229
2026-03-01 01:52:00,450.3,0.963,0.226
2026-03-01 01:53:00,462.32,0.977,0.35
2026-03-01 01:54:00,449.04,0.932,0.593
2026-03-01 01:55:00,451.51,1.127,0.238
2026-03-01 01:56:00,449.83,0.935,0.301
2026-03-01 01:57:00,444.16,0.925,0.31
2026-03-01 01:58:00,455.71,0.987,0.209
2026-03-01 01:59:00,453.76,0.931,0.277
2026-03-01 02:00:00,453.96,1.006,0.282
2026-03-01 02:01:00,445.45,1.082,0.275
2026-03-01 02:02:00,457.01,1.008,0.243
2026-03-01 02:03:00,442.99,1.017,0.326
2026-03-01 02:04:00,452.93,0.985,0.288
2026-03-01 02:05:00,460.95,0.948,0.074
2026-03-01 02:06:00,445.05,0.985,0.515
2026-03-01 02:07:00,447.17,1.053,0.203
2026-03-01 02:08:00,450.5,1.068,0.183
2026-03-01 02:09:00,447.48,1.002,0.078
2026-03-01 02:10:00,442.25,1.044,0.478
2026-03-01 02:11:00,450.34,0.961,0.2
2026-03-01 02:12:00,444.69,0.969,0.109
2026-03-01 02:13:00,452.37,0.92,0.241
2026-03-01 02:14:00,445.4,1.055,0.362
2026-03-01 02:15:00,457.75,0.971,0.25
2026-03-01 02:16:00,446.08,0.934,0.109
2026-03-01 02:17:00,448.39,1.025,0.273
2026-03-01 02:18:00,454.07,1.067,0.207
2026-03-01 02:19:00,443.85,0.981,0.364
2026-03-01 02:20:00,451.14,0.911,0.268
2026-03-01 02:21:00,456.54,0.984,0.338
2026-03-01 02:22:00,441.96,1.012,0.389
2026-03-01 02:23:00,450.92,1.03,0.31
2026-03-01 02:24:00,451.3,1.039,0.316
2026-03-01 02:25:00,453.91,1.004,0.344
2026-03-01 02:26:00,443.82,0.987,0.324
2026-03-01 02:27:00,443.4,1.034,0.186
2026-03-01 02:28:00,452.61,0.934,0.157
2026-03-01 02:29:00,451.48,0.952,0.55
2026-03-01 02:30:00,451.25,0.964,0.525
2026-03-01 02:31:00,451.73,0.978,0.126
2026-03-01 02:32:00,446.6,0.931,0.235
2026-03-01 02:33:00,451.16,1.049,0.33
2026-03-01 02:34:00,451.47,0.939,0.326
2026-03-01 02:35:00,446.43,0.866,0.327
2026-03-01 02:36:00,459.33,1.049,0.201
2026-03-01 02:37:00,452.37,1.026,0.264
2026-03-01 02:38:00,444.04,0.997,0.413
2026-03-01 02:39:00,453.28,1.023,0.31
2026-03-01 02:40:00,445.13,1.005,0.251
2026-03-01 02:41:00,453.94,1.058,0.199
2026-03-01 02:42:00,455.79,0.962,0.39
2026-03-01 02:43:00,445.9,1.087,0.315
2026-03-01 02:44:00,454.82,1.047,0.263
2026-03-01 02:45:00,452.06,0.97,0.355
2026-03-01 02:46:00,454.11,0.962,0.289
2026-03-01 02:47:00,459.48,1.007,0.118
2026-03-01 02:48:00,448.77,0.944,0.364
2026-03-01 02:49:00,446.23,0.99,0.62
2026-03-01 02:50:00,445.55,1.067,0.177
2026-03-01 02:51:00,445.92,1.009,0.342
2026-03-01 02:52:00,449.61,1.105,0.241
2026-03-01 02:53:00,451.71,0.962,0.428
2026-03-01 02:54:00,451.38,1.023,0.315
2026-03-01 02:55:00,454.14,0.973,0.378
2026-03-01 02:56:00,450.07,0.99,0.12
2026-03-01 02:57:00,457.27,1.025,0.258
2026-03-01 02:58:00,448.68,0.963,0.135
2026-03-01 02:59:00,463.6,0.957,0.252
2026-03-01 03:00:00,453.13,0.977,0.324
2026-03-01 03:01:00,445.71,0.973,0.346
2026-03-01 03:02:00,444.65,0.95,0.308
2026-03-01 03:03:00,452.41,1.072,0.349
2026-03-01 03:04:00,448.88,0.985,0.251
2026-03-01 03:05:00,453.57,1.042,0.164
2026-03-01 03:06:00,452.37,1.038,0.314
2026-03-01 03:07:00,449.64,1.051,0.289
2026-03-01 03:08:00,445.77,0.933,0.474
2026-03-01 03:09:00,442.43,0.983,0.416
2026-03-01 03:10:00,447.77,1.034,0.418
2026-03-01 03:11:00,454.28,0.969,0.239
2026-03-01 03:12:00,451.07,1.074,0.302
2026-03-01 03:13:00,443.77,0.939,0.337
2026-03-01 03:14:00,450.87,1.041,0.2
2026-03-01 03:15:00,451.93,0.978,0.186
2026-03-01 03:16:00,445.58,1.053,0.225
2026-03-01 03:17:00,450.77,1.013,0.221
2026-03-01 03:18:00,450.29,0.958,0.352
2026-03-01 03:19:00,444.29,1.041,0.333
2026-03-01 03:20:00,451.79,0.914,0.295
2026-03-01 03:21:00,452.8,0.983,0.312
2026-03-01 03:22:00,455.42,0.977,0.29
2026-03-01 03:23:00,455.27,1.022,0.263
2026-03-01 03:24:00,443.11,0.866,0.259
2026-03-01 03:25:00,445.31,1.012,0.117
2026-03-01 03:26:00,452.58,1.019,0.272
2026-03-01 03:27:00,452.57,0.96,0.263
2026-03-01 03:28:00,452.58,0.985,0.232
2026-03-01 03:29:00,469.26,1.002,0.237
2026-03-01 03:30:00,452.85,1.047,0.304
2026-03-01 03:31:00,455.68,0.892,0.262
2026-03-01 03:32:00,454.77,0.997,0.376
2026-03-01 03:33:00,453.26,1.024,0.155
2026-03-01 03:34:00,448.42,1.031,0.394
2026-03-01 03:35:00,453.79,0.989,0.432
2026-03-01 03:36:00,446.14,1.029,0.378
2026-03-01 03:37:00,448.82,0.996,0.082
2026-03-01 03:38:00,447.57,1.056,0.321
2026-03-01 03:39:00,450.41,0.958,0.182
2026-03-01 03:40:00,461.57,0.967,0.208
2026-03-01 03:41:00,440.66,1.023,0.263
2026-03-01 03:42:00,453.43,1.032,0.316
2026-03-01 03:43:00,441.94,1.025,0.386
2026-03-01 03:44:00,447.64,0.979,0.321
2026-03-01 03:45:00,455.44,0.98,0.237
2026-03-01 03:46:00,450.32,0.999,0.455
2026-03-01 03:47:00,444.61,0.945,0.411
2026-03-01 03:48:00,446.42,0.959,0.14
2026-03-01 03:49:00,453.4,1.073,0.111
2026-03-01 03:50:00,446.35,0.992,0.151
2026-03-01 03:51:00,451.08,0.974,0.263
2026-03-01 03:52:00,450.23,0.971,0.25
2026-03-01 03:53:00,446.74,1.015,0.127
2026-03-01 03:54:00,460.72,1.105,0.443
2026-03-01 03:55:00,453.17,1.058,0.172
2026-03-01 03:56:00,439.87,0.935,0.251
2026-03-01 03:57:00,450.93,1.064,0.26
2026-03-01 03:58:00,446.69,0.958,0.407
2026-03-01 03:59:00,454.26,0.968,0.377
2026-03-01 04:00:00,446.04,0.977,0.12
2026-03-01 04:01:00,449.43,0.941,0.124
2026-03-01 04:02:00,452.52,1.064,0.325
2026-03-01 04:03:00,454.33,0.971,0.355
2026-03-01 04:04:00,444.0,0.895,0.351
2026-03-01 04:05:00,448.33,0.958,0.362
2026-03-01 04:06:00,447.63,1.01,0.436
2026-03-01 04:07:00,446.73,0.914,0.402
2026-03-01 04:08:00,458.83,1.013,0.431
2026-03-01 04:09:00,452.02,0.956,0.358
2026-03-01 04:10:00,443.7,1.056,0.569
2026-03-01 04:11:00,454.59,1.023,0.398
2026-03-01 04:12:00,460.61,1.004,0.288
2026-03-01 04:13:00,455.16,0.923,0.403
2026-03-01 04:14:00,442.4,0.936,0.228
2026-03-01 04:15:00,447.58,0.971,0.345
2026-03-01 04:16:00,456.33,0.989,0.342
2026-03-01 04:17:00,446.46,1.076,0.376
2026-03-01 04:18:00,452.22,1.015,0.186
2026-03-01 04:19:00,453.87,0.981,0.416
2026-03-01 04:20:00,445.37,1.074,0.285
2026-03-01 04:21:00,449.7,0.995,0.418
2026-03-01 04:22:00,433.79,1.022,0.312
2026-03-01 04:23:00,444.88,1.078,0.321
2026-03-01 04:24:00,448.74,1.036,0.271
2026-03-01 04:25:00,443.76,1.022,0.267
2026-03-01 04:26:00,458.16,1.029,0.341
2026-03-01 04:27:00,442.85,0.997,0.268
2026-03-01 04:28:00,447.8,1.002,0.133
2026-03-01 04:29:00,450.65,0.921,0.288
2026-03-01 04:30:00,457.21,0.965,0.041
2026-03-01 04:31:00,442.82,0.998,0.188
2026-03-01 04:32:00,455.82,1.023,0.2
2026-03-01 04:33:00,450.05,0.978,0.358
2026-03-01 04:34:00,445.09,1.119,0.555
2026-03-01 04:35:00,452.31,1.039,0.255
2026-03-01 04:36:00,451.0,1.012,0.332
2026-03-01 04:37:00,447.0,0.928,0.424
2026-03-01 04:38:00,450.35,0.997,0.324
2026-03-01 04:39:00,448.07,1.026,0.133
2026-03-01 04:40:00,450.57,0.995,0.235
2026-03-01 04:41:00,453.31,0.993,0.35
2026-03-01 04:42:00,457.93,0.992,0.357
2026-03-01 04:43:00,443.81,0.965,0.507
2026-03-01 04:44:00,460.67,0.937,0.344
2026-03-01 04:45:00,440.24,1.109,0.461
2026-03-01 04:46:00,449.24,0.95,0.222
2026-03-01 04:47:00,452.94,0.977,0.07
2026-03-01 04:48:00,451.4,1.013,0.312
2026-03-01 04:49:00,446.89,0.897,0.546
2026-03-01 04:50:00,448.96,1.078,0.224
2026-03-01 04:51:00,447.53,1.058,0.506
2026-03-01 04:52:00,447.05,0.925,0.391
2026-03-01 04:53:00,454.25,0.984,0.278
2026-03-01 04:54:00,451.79,1.048,0.276
2026-03-01 04:55:00,446.54,0.999,0.354
2026-03-01 04:56:00,454.5,1.05,0.113
2026-03-01 04:57:00,451.54,1.076,0.29
2026-03-01 04:58:00,454.06,0.959,0.357
2026-03-01 04:59:00,453.15,1.023,0.329
2026-03-01 05:00:00,445.86,0.94,0.339
2026-03-01 05:01:00,447.2,0.977,0.325
2026-03-01 05:02:00,453.74,1.003,0.327
2026-03-01 05:03:00,453.05,1.007,0.288
2026-03-01 05:04:00,449.9,0.958,0.154
2026-03-01 05:05:00,450.59,1.03,0.379
2026-03-01 05:06:00,456.39,0.927,0.282
2026-03-01 05:07:00,447.04,0.956,0.298
2026-03-01 05:08:00,452.74,1.054,0.347
2026-03-01 05:09:00,448.99,0.96,0.185
2026-03-01 05:10:00,448.91,1.014,0.305
2026-03-01 05:11:00,455.49,1.082,0.378
2026-03-01 05:12:00,454.13,0.999,0.325
2026-03-01 05:13:00,454.07,1.067,0.365
2026-03-01 05:14:00,456.53,0.932,0.16
2026-03-01 05:15:00,450.11,0.971,0.33
2026-03-01 05:16:00,453.41,1.011,0.294
2026-03-01 05:17:00,448.45,0.948,0.223
2026-03-01 05:18:00,451.62,0.977,0.27
2026-03-01 05:19:00,449.35,1.007,0.307
2026-03-01 05:20:00,450.48,1.008,0.306
2026-03-01 05:21:00,452.98,0.984,0.447
2026-03-01 05:22:00,445.91,0.908,0.292
2026-03-01 05:23:00,460.46,0.968,0.389
2026-03-01 05:24:00,444.97,0.93,0.311
2026-03-01 05:25:00,443.93,0.996,0.232
2026-03-01 05:26:00,455.79,0.998,0.273
2026-03-01 05:27:00,453.96,0.994,0.248
2026-03-01 05:28:00,453.12,0.953,0.362
2026-03-01 05:29:00,453.14,0.916,0.362
2026-03-01 05:30:00,449.94,1.071,0.149
2026-03-01 05:31:00,445.51,1.001,0.279
2026-03-01 05:32:00,450.38,0.984,0.372
2026-03-01 05:33:00,446.61,0.997,0.24
2026-03-01 05:34:00,454.88,0.933,0.307
2026-03-01 05:35:00,449.26,1.064,0.382
2026-03-01 05:36:00,445.87,0.964,0.256
2026-03-01 05:37:00,448.39,0.994,0.396
2026-03-01 05:38:00,452.06,1.024,0.329
2026-03-01 05:39:00,447.18,1.036,0.384
2026-03-01 05:40:00,445.89,0.999,0.38
2026-03-01 05:41:00,451.22,0.948,0.175
2026-03-01 05:42:00,451.22,1.03,0.445
2026-03-01 05:43:00,447.47,1.043,0.455
2026-03-01 05:44:00,447.64,1.059,0.293
2026-03-01 05:45:00,451.16,1.027,0.413
2026-03-01 05:46:00,442.76,1.105,0.313
2026-03-01 05:47:00,442.96,1.007,0.352
2026-03-01 05:48:00,446.41,1.01,0.479
2026-03-01 05:49:00,448.93,1.061,0.366
2026-03-01 05:50:00,451.55,1.081,0.236
2026-03-01 05:51:00,457.38,1.069,0.285
2026-03-01 05:52:00,454.29,0.996,0.259
2026-03-01 05:53:00,449.2,1.038,0.25
2026-03-01 05:54:00,449.9,1.053,0.322
2026-03-01 05:55:00,444.99,1.003,0.277
2026-03-01 05:56:00,449.91,0.958,0.357
2026-03-01 05:57:00,448.56,0.95,0.346
2026-03-01 05:58:00,451.61,1.019,0.352
2026-03-01 05:59:00,445.86,1.044,0.283
2026-03-01 06:00:00,452.6,0.977,0.347
2026-03-01 06:01:00,457.66,0.962,0.302
2026-03-01 06:02:00,449.46,0.974,0.322
2026-03-01 06:03:00,452.01,1.007,0.273
2026-03-01 06:04:00,453.45,1.039,0.238
2026-03-01 06:05:00,447.99,1.019,0.246
2026-03-01 06:06:00,451.12,1.0,0.416
2026-03-01 06:07:00,450.06,1.069,0.464
2026-03-01 06:08:00,450.49,1.136,0.285
2026-03-01 06:09:00,446.13,1.001,0.289
2026-03-01 06:10:00,450.12,1.08,0.09
2026-03-01 06:11:00,452.49,0.966,0.283
2026-03-01 06:12:00,457.26,1.057,0.164
2026-03-01 06:13:00,454.8,0.959,0.415
2026-03-01 06:14:00,460.77,0.982,0.164
2026-03-01 06:15:00,446.16,0.998,0.381
2026-03-01 06:16:00,454.36,0.904,0.474
2026-03-01 06:17:00,450.92,0.909,0.35
2026-03-01 06:18:00,460.95,0.957,0.185
2026-03-01 06:19:00,445.96,1.066,0.272
2026-03-01 06:20:00,445.8,0.988,0.287
2026-03-01 06:21:00,447.0,1.046,0.366
2026-03-01 06:22:00,439.38,0.918,0.116
2026-03-01 06:23:00,447.37,1.018,0.201
2026-03-01 06:24:00,446.2,1.022,0.513
2026-03-01 06:25:00,450.75,0.952,0.438
2026-03-01 06:26:00,451.71,1.093,0.307
2026-03-01 06:27:00,459.38,0.937,0.199
2026-03-01 06:28:00,454.75,0.988,0.27
2026-03-01 06:29:00,447.12,1.123,0.384
2026-03-01 06:30:00,445.51,0.952,0.295
2026-03-01 06:31:00,452.46,0.969,0.29
2026-03-01 06:32:00,443.4,1.008,0.46
2026-03-01 06:33:00,459.16,0.934,0.338
2026-03-01 06:34:00,455.9,1.026,0.244
2026-03-01 06:35:00,447.65,0.911,0.403
2026-03-01 06:36:00,441.43,1.0,0.298
2026-03-01 06:37:00,456.77,1.072,0.237
2026-03-01 06:38:00,449.43,1.032,0.323
2026-03-01 06:39:00,456.19,0.998,0.463
2026-03-01 06:40:00,442.03,0.984,0.383
2026-03-01 06:41:00,447.0,0.996,0.329
2026-03-01 06:42:00,450.03,0.986,0.23
2026-03-01 06:43:00,450.23,1.02,0.449
2026-03-01 06:44:00,447.75,1.032,0.378
2026-03-01 06:45:00,453.11,1.007,0.279
2026-03-01 06:46:00,444.66,1.035,0.424
2026-03-01 06:47:00,449.29,1.026,0.445
2026-03-01 06:48:00,450.6,0.938,0.17
2026-03-01 06:49:00,452.57,0.883,0.144
2026-03-01 06:50:00,453.56,1.009,0.288
2026-03-01 06:51:00,444.38,0.977,0.371
2026-03-01 06:52:00,442.33,1.01,0.316
2026-03-01 06:53:00,456.39,1.084,0.428
2026-03-01 06:54:00,451.66,0.987,0.442
2026-03-01 06:55:00,446.26,1.016,0.205
2026-03-01 06:56:00,457.76,0.958,0.251
2026-03-01 06:57:00,450.58,1.025,0.231
2026-03-01 06:58:00,455.9,0.961,0.243
2026-03-01 06:59:00,450.34,1.05,0.287
2026-03-01 07:00:00,460.3,1.006,0.256
2026-03-01 07:01:00,458.78,0.993,0.29
2026-03-01 07:02:00,448.76,0.918,0.166
2026-03-01 07:03:00,454.86,0.931,0.504
2026-03-01 07:04:00,453.23,1.029,0.257
2026-03-01 07:05:00,456.84,1.058,0.313
2026-03-01 07:06:00,445.18,1.012,0.44
2026-03-01 07:07:00,453.43,0.989,0.228
2026-03-01 07:08:00,455.29,1.002,0.502
2026-03-01 07:09:00,441.21,0.993,0.344
2026-03-01 07:10:00,444.08,0.965,0.37
2026-03-01 07:11:00,439.8,0.932,0.391
2026-03-01 07:12:00,448.65,0.933,0.331
2026-03-01 07:13:00,453.59,0.966,0.266
2026-03-01 07:14:00,457.51,1.005,0.385
2026-03-01 07:15:00,450.37,0.934,0.284
2026-03-01 07:16:00,458.14,0.996,0.347
2026-03-01 07:17:00,443.1,0.962,0.131
2026-03-01 07:18:00,441.48,0.916,0.344
2026-03-01 07:19:00,449.72,0.968,0.425
2026-03-01 07:20:00,451.92,1.012,0.449
2026-03-01 07:21:00,449.84,0.968,0.281
2026-03-01 07:22:00,439.66,1.074,0.272
2026-03-01 07:23:00,449.55,1.031,0.182
2026-03-01 07:24:00,443.48,1.053,0.255
2026-03-01 07:25:00,453.35,1.155,0.166
2026-03-01 07:26:00,451.83,0.971,0.419
2026-03-01 07:27:00,445.3,0.928,0.45
2026-03-01 07:28:00,447.43,0.961,0.166
2026-03-01 07:29:00,444.7,1.003,0.285
2026-03-01 07:30:00,449.69,1.02,0.382
2026-03-01 07:31:00,454.78,1.009,0.224
2026-03-01 07:32:00,445.07,0.978,0.234
2026-03-01 07:33:00,452.52,1.021,0.232
2026-03-01 07:34:00,447.35,1.057,0.3
2026-03-01 07:35:00,446.04,0.962,0.341
2026-03-01 07:36:00,449.46,0.953,0.22
2026-03-01 07:37:00,444.82,1.098,0.371
2026-03-01 07:38:00,447.23,0.944,0.264
2026-03-01 07:39:00,444.01,1.042,0.24
2026-03-01 07:40:00,459.82,0.99,0.21
2026-03-01 07:41:00,450.18,1.074,0.24
2026-03-01 07:42:00,446.5,0.986,0.278
2026-03-01 07:43:00,451.07,1.02,0.446
2026-03-01 07:44:00,449.44,0.934,0.084
2026-03-01 07:45:00,448.9,0.966,0.318
2026-03-01 07:46:00,453.07,1.012,0.396
2026-03-01 07:47:00,453.79,0.967,0.37
2026-03-01 07:48:00,447.35,0.936,0.345
2026-03-01 07:49:00,447.12,1.106,0.317
2026-03-01 07:50:00,448.62,0.999,0.474
2026-03-01 07:51:00,438.49,1.057,0.36
2026-03-01 07:52:00,442.42,1.095,0.437
2026-03-01 07:53:00,456.83,0.974,0.304
2026-03-01 07:54:00,458.22,0.996,0.435
2026-03-01 07:55:00,448.75,1.004,0.355
2026-03-01 07:56:00,452.88,1.024,0.424
2026-03-01 07:57:00,451.56,1.056,0.294
2026-03-01 07:58:00,465.39,1.049,0.322
2026-03-01 07:59:00,455.6,1.036,0.285
2026-03-01 08:00:00,449.36,0.984,0.268
2026-03-01 08:01:00,445.22,1.0,0.277
2026-03-01 08:02:00,441.97,0.937,0.207
2026-03-01 08:03:00,451.02,1.036,0.271
2026-03-01 08:04:00,446.22,1.116,0.491
2026-03-01 08:05:00,442.89,1.013,0.41
2026-03-01 08:06:00,446.77,1.07,0.402
2026-03-01 08:07:00,444.59,1.042,0.315
2026-03-01 08:08:00,458.44,0.973,0.347
2026-03-01 08:09:00,454.41,0.956,0.334
2026-03-01 08:10:00,449.96,0.943,0.371
2026-03-01 08:11:00,457.4,1.006,0.233
2026-03-01 08:12:00,450.39,1.028,0.021
2026-03-01 08:13:00,445.69,1.03,0.392
2026-03-01 08:14:00,457.62,0.943,0.332
2026-03-01 08:15:00,452.69,1.062,0.208
2026-03-01 08:16:00,444.81,0.972,0.282
2026-03-01 08:17:00,449.05,1.006,0.458
2026-03-01 08:18:00,445.62,0.968,0.418
2026-03-01 08:19:00,443.09,0.941,0.47
2026-03-01 08:20:00,454.63,0.937,0.328
2026-03-01 08:21:00,459.55,1.036,0.093
2026-03-01 08:22:00,443.01,0.999,0.404
2026-03-01 08:23:00,452.81,0.945,0.348
2026-03-01 08:24:00,446.75,0.969,0.307
2026-03-01 08:25:00,447.56,1.071,0.329
2026-03-01 08:26:00,447.04,1.044,0.432
2026-03-01 08:27:00,445.68,1.031,0.352
2026-03-01 08:28:00,450.24,1.106,0.168
2026-03-01 08:29:00,445.85,1.075,0.184
2026-03-01 08:30:00,451.35,1.002,0.248
2026-03-01 08:31:00,449.75,0.973,0.217
2026-03-01 08:32:00,448.81,1.129,0.354
2026-03-01 08:33:00,445.46,1.06,0.423
2026-03-01 08:34:00,447.12,0.973,0.285
2026-03-01 08:35:00,453.78,0.933,0.343
2026-03-01 08:36:00,452.5,0.888,0.322
2026-03-01 08:37:00,445.11,0.936,0.211
2026-03-01 08:38:00,450.5,0.976,0.254
2026-03-01 08:39:00,453.76,1.067,0.213
2026-03-01 08:40:00,441.65,1.049,0.363
2026-03-01 08:41:00,452.72,1.013,0.131
2026-03-01 08:42:00,446.69,1.031,0.331
2026-03-01 08:43:00,452.85,0.961,0.218
2026-03-01 08:44:00,446.18,0.935,0.363
2026-03-01 08:45:00,440.98,0.988,0.383
2026-03-01 08:46:00,441.86,1.049,0.481
2026-03-01 08:47:00,450.24,1.002,0.299
2026-03-01 08:48:00,451.3,1.035,0.142
2026-03-01 08:49:00,445.48,1.002,0.21
2026-03-01 08:50:00,453.19,0.935,0.34
2026-03-01 08:51:00,441.69,1.014,0.284
2026-03-01 08:52:00,449.67,0.981,0.258
2026-03-01 08:53:00,443.94,1.054,0.403
2026-03-01 08:54:00,446.74,0.921,0.199
2026-03-01 08:55:00,450.24,1.077,0.311
2026-03-01 08:56:00,445.7,0.938,0.254
2026-03-01 08:57:00,448.08,0.986,0.339
2026-03-01 08:58:00,455.03,0.926,0.434
2026-03-01 08:59:00,447.12,1.051,0.27
2026-03-01 09:00:00,454.18,0.944,0.211
2026-03-01 09:01:00,444.35,0.973,0.437
2026-03-01 09:02:00,452.65,1.052,0.154
2026-03-01 09:03:00,457.21,0.975,0.251
2026-03-01 09:04:00,437.64,0.996,0.384
2026-03-01 09:05:00,446.02,1.029,0.258
2026-03-01 09:06:00,452.89,1.018,0.392
2026-03-01 09:07:00,448.98,1.011,0.369
2026-03-01 09:08:00,451.86,0.971,0.257
2026-03-01 09:09:00,446.98,0.98,0.073
2026-03-01 09:10:00,450.43,1.022,0.265
2026-03-01 09:11:00,449.22,0.986,0.333
2026-03-01 09:12:00,455.84,1.013,0.239
2026-03-01 09:13:00,451.27,0.904,0.298
2026-03-01 09:14:00,451.69,0.999,0.494
2026-03-01 09:15:00,447.94,1.027,0.337
2026-03-01 09:16:00,447.56,1.033,0.35
2026-03-01 09:17:00,447.84,0.99,0.155
